,...1,日期,断面,lon,lat,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
57,152,NA,中官铺,115.473,29.8408,0.965399981,1.007500052,1.108700037,1.139099956,1.445000052,1.386299968,1.256999969,0.060478,2.290071
58,153,NA,柳口,112.4239,29.9947,0.950200021,0.989199996,1.078199983,1.068699956,1.502799988,1.313699961,1.234400034,0.06298,1.948228
59,154,NA,燕矶,115.0072,30.3992,0.973399997,1.003299952,1.104200006,1.106600046,1.630399942,1.396600008,1.20539999,0.074195,2.074707
60,157,NA,富池闸,115.4248,29.8762,0.926400006,0.935500026,1.060799956,1.004799962,1.800899982,1.407999992,1.177899957,0.045169,1.466988
61,158,NA,荆州河口,112.0547,30.2944,0.924600005,0.978100002,1.12409997,1.112499952,1.585899949,1.173200011,1.033800006,0.061942,1.550912
62,159,NA,荆江口,112.9747,29.4825,0.856700003,0.910049975,1.000349998,0.948300004,0.980199993,0.916050017,0.871800005,0.061146,1.72772
63,161,NA,观音寺,112.2539,30.1989,0.917100012,0.968900025,1.068199992,1.060500026,1.548799992,1.340899944,1.156000018,0.05938,1.953349
64,162,NA,调关,112.6236,29.6919,0.979600012,1.036399961,1.157400012,1.182100058,1.44780004,1.432299972,1.330000043,0.063972,2.145756
65,168,NA,白浒山,114.6287,30.5484,0.917900026,0.954999983,1.060600042,1.031000018,1.593000054,1.354900002,1.161200047,0.055429,1.58412
66,170,NA,姚港(河西水厂),115.96972,29.7244,1.037099957,1.058799982,1.122200012,1.156399965,1.300099969,1.369699955,1.307899952,0.077326,2.171134
67,172,NA,中官铺,115.473,29.8408,0.9102,0.941200018,1.068400025,1.059399962,1.437299967,1.318300009,1.176499963,0.139882,2.31014
68,174,NA,燕矶,115.0072,30.3992,0.878199995,0.926400006,1.046200037,0.988600016,1.464400053,1.216500044,1.032699943,0.083903,2.150448
69,175,NA,富池闸,115.4248,29.8762,0.910600007,0.93599999,1.055899978,0.980499983,1.774000049,1.379299998,1.12530005,0.053744,1.828226
70,180,NA,白浒山,114.6287,30.5484,0.904900014,0.93629998,1.059700012,0.999300003,1.602200031,1.339599967,1.122300029,0.083741,1.618612
71,184,NA,杨泗港,114.2585,30.4793,0.943599999,0.958700001,1.016600013,0.993099988,1.351199985,1.276900053,1.11590004,0.082959,1.02925
72,187,NA,砖瓦厂,112.0622,30.2783,0.98119998,1.011600018,1.115399957,1.167500019,1.436699986,1.409100056,1.257400036,0.067873,2.251613
73,188,NA,柳口,112.4239,29.9947,0.9454,0.96509999,1.024199963,1.01030004,1.601600051,1.374199986,1.291599989,0.076527,1.962496
