,日期,断面,lon,lat,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
131,NA,寸滩,106.5996,29.6149,0.944700003,0.975499988,1.061200023,1.06159997,1.683599949,1.420799971,1.17809999,0.087758,1.949762
132,NA,手爬岩,105.5415,28.8952,0.926999986,0.949400008,1.044999957,0.992299974,1.806800008,1.440799952,1.140200019,0.085248,1.877192
133,NA,清江大桥,111.4304,30.3997,0.983399987,0.991999984,1.07889998,1.060199976,1.586500049,1.376700044,1.236600041,0.022203,2.518217
134,NA,晒网坝,108.4766,30.839,0.750400007,0.792299986,0.914799988,0.763300002,0.747600019,0.760900021,0.75819999,0.05666,1.847493
135,NA,纳溪大渡口,105.2302,28.7511,0.869700015,0.900300026,1.017699957,0.956499994,1.770300031,1.353800058,1.034100056,0.046409,1.086231
136,NA,云池(白洋),111.4927,30.4087,0.828599989,0.839999974,0.918799996,0.855400026,1.969400048,1.218600035,0.940100014,0.056384,2.28717
137,NA,手爬岩,105.5415,28.8952,0.930000007,0.935699999,1.020699978,0.975499988,1.751999974,1.345299959,1.022199988,0.064081,1.409685
138,NA,清江大桥,111.4304,30.3997,0.964900017,0.990199983,1.10769999,1.084800005,1.744899988,1.494099975,1.277500033,0.038506,2.668294
139,NA,纳溪大渡口,105.2302,28.7511,0.84920001,0.866900027,0.974399984,0.922699988,1.798400044,1.461400032,1.103500009,0.041157,0.785119
140,NA,白帝城,109.5593,31.0377,0.926800013,0.946799994,1.06645,1.042750001,1.781499982,1.427049994,1.141299963,0.054445,1.416932
141,NA,江津大桥,106.2569,29.2639,0.926599979,0.935000002,0.996500015,0.995700002,1.606299996,1.341500044,1.099699974,0.065257,1.240426
142,NA,云池(白洋),111.4927,30.4087,0.813549995,0.837599993,0.930599988,0.858250022,1.898749948,1.17324996,0.920599997,0.05633,1.99189
143,NA,寸滩,106.5996,29.6149,1.002099991,1.034999967,1.121000051,1.11469996,1.752500057,1.421900034,1.190199971,0.057451,1.13768
144,NA,手爬岩,105.5415,28.8952,0.923300028,0.943599999,1.055500031,1.030500054,1.950399995,1.50849998,1.152400017,0.057476,1.11098
145,NA,苏家,108.0669,30.3124,0.968200028,0.968100011,1.055299997,1.00849998,2.040299892,1.570500016,1.177099943,0.069926,1.661
146,NA,清江大桥,111.4304,30.3997,1.028800011,1.046200037,1.118199944,1.093299985,1.700399995,1.473099947,1.255200028,0.024753,2.552808
147,NA,清溪场,107.4545,29.7967,0.810100019,0.842100024,0.986299992,0.917699993,1.813599944,1.313699961,1.006800056,0.059728,1.331697
148,NA,晒网坝,108.4766,30.839,0.993099988,1.023800015,1.144299984,1.113299966,0.837499976,0.75,0.740499973,0.056739,1.300173
149,NA,丰收坝,106.4615,29.3897,0.941999972,0.98269999,1.073899984,1.019400001,0.907700002,0.876600027,0.844799995,0.032616,0.743601
150,NA,纳溪大渡口,105.2302,28.7511,0.880699992,0.90109998,1.008399963,0.978600025,1.84829998,1.575399995,1.192499995,0.031289,0.818373
151,NA,白帝城,109.5593,31.0377,0.976050019,1.005300045,1.118100047,1.143599987,1.748450041,1.494099975,1.215199947,0.033839,1.292805
152,NA,和尚山,106.5334,29.5071,0.885999978,0.932399988,1.027099967,0.962899983,0.851499975,0.839399993,0.821500003,0.024253,0.828228
153,NA,江津大桥,106.2569,29.2639,0.879999995,0.907400012,0.990999997,1.004400015,1.638499975,1.370200038,1.122900009,0.053099,1.146861
154,NA,云池(白洋),111.4927,30.4087,0.795099974,0.807099998,0.906599998,0.856299996,1.870499969,1.208600044,0.938199997,0.043055,1.614367
155,NA,南津关,111.2706,30.7639,0.877600014,0.867399991,0.934199989,0.888899982,1.630300045,1.264799953,1.042500019,0.042099,1.41283
156,NA,寸滩,106.5996,29.6149,0.986500025,1.014500022,1.122400045,1.123999953,1.766499996,1.510400057,1.225900054,0.031537,0.899109
157,NA,手爬岩,105.5415,28.8952,0.964699984,0.988099992,1.113700032,1.112499952,1.874300003,1.589900017,1.272199988,0.043669,0.931792
158,NA,苏家,108.0669,30.3124,0.984000027,0.9824,1.061800003,1.024999976,2.00090003,1.619899988,1.217300057,0.039232,1.071986
159,NA,清江大桥,111.4304,30.3997,0.983900011,1.003600001,1.086599946,1.08220005,1.721400023,1.398399949,1.196200013,0.015357,2.335089
160,NA,清溪场,107.4545,29.7967,0.844600022,0.871900022,0.997399986,0.914300025,2.285900116,1.420799971,1.020699978,0.039663,1.143967
161,NA,晒网坝,108.4766,30.839,0.92900002,0.953000009,1.021499991,0.919700027,0.838400006,0.763199985,0.744499981,0.035856,1.127619
130,NA,南津关,111.2706,30.7639,0.905700028,0.897300005,0.966099977,0.938399971,1.61500001,1.241799951,1.033800006,0.04,1.7
131,NA,寸滩,106.5996,29.6149,0.944700003,0.975499988,1.061200023,1.06159997,1.683599949,1.420799971,1.17809999,0.07,1.8
132,NA,手爬岩,105.5415,28.8952,0.926999986,0.949400008,1.044999957,0.992299974,1.806800008,1.440799952,1.140200019,0.09,1.9
133,NA,清江大桥,111.4304,30.3997,0.983399987,0.991999984,1.07889998,1.060199976,1.586500049,1.376700044,1.236600041,0.01,2.4
134,NA,晒网坝,108.4766,30.839,0.750400007,0.792299986,0.914799988,0.763300002,0.747600019,0.760900021,0.75819999,0.06,1.9
135,NA,纳溪大渡口,105.2302,28.7511,0.869700015,0.900300026,1.017699957,0.956499994,1.770300031,1.353800058,1.034100056,0.05,1.0 
136,NA,云池(白洋),111.4927,30.4087,0.828599989,0.839999974,0.918799996,0.855400026,1.969400048,1.218600035,0.940100014,0.06,2.3
137,NA,手爬岩,105.5415,28.8952,0.930000007,0.935699999,1.020699978,0.975499988,1.751999974,1.345299959,1.022199988,0.05,1.3
138,NA,清江大桥,111.4304,30.3997,0.964900017,0.990199983,1.10769999,1.084800005,1.744899988,1.494099975,1.277500033,0.045,2.7
139,NA,纳溪大渡口,105.2302,28.7511,0.84920001,0.866900027,0.974399984,0.922699988,1.798400044,1.461400032,1.103500009,0.05,0.7
140,NA,白帝城,109.5593,31.0377,0.926800013,0.946799994,1.06645,1.042750001,1.781499982,1.427049994,1.141299963,0.1,1.5
141,NA,江津大桥,106.2569,29.2639,0.926599979,0.935000002,0.996500015,0.995700002,1.606299996,1.341500044,1.099699974,0.05,1.1
142,NA,云池(白洋),111.4927,30.4087,0.813549995,0.837599993,0.930599988,0.858250022,1.898749948,1.17324996,0.920599997,0.06,2.1
143,NA,寸滩,106.5996,29.6149,1.002099991,1.034999967,1.121000051,1.11469996,1.752500057,1.421900034,1.190199971,0.05,1.05
144,NA,手爬岩,105.5415,28.8952,0.923300028,0.943599999,1.055500031,1.030500054,1.950399995,1.50849998,1.152400017,0.06,1.2
145,NA,苏家,108.0669,30.3124,0.968200028,0.968100011,1.055299997,1.00849998,2.040299892,1.570500016,1.177099943,0.06,1.5
146,NA,清江大桥,111.4304,30.3997,1.028800011,1.046200037,1.118199944,1.093299985,1.700399995,1.473099947,1.255200028,0.03,2.6
147,NA,清溪场,107.4545,29.7967,0.810100019,0.842100024,0.986299992,0.917699993,1.813599944,1.313699961,1.006800056,0.05,1.2
148,NA,晒网坝,108.4766,30.839,0.993099988,1.023800015,1.144299984,1.113299966,0.837499976,0.75,0.740499973,0.06,1.4
149,NA,丰收坝,106.4615,29.3897,0.941999972,0.98269999,1.073899984,1.019400001,0.907700002,0.876600027,0.844799995,0.03,0.64
150,NA,纳溪大渡口,105.2302,28.7511,0.880699992,0.90109998,1.008399963,0.978600025,1.84829998,1.575399995,1.192499995,0.04,0.9
151,NA,白帝城,109.5593,31.0377,0.976050019,1.005300045,1.118100047,1.143599987,1.748450041,1.494099975,1.215199947,0.03,1.2
152,NA,和尚山,106.5334,29.5071,0.885999978,0.932399988,1.027099967,0.962899983,0.851499975,0.839399993,0.821500003,0.03,1
153,NA,江津大桥,106.2569,29.2639,0.879999995,0.907400012,0.990999997,1.004400015,1.638499975,1.370200038,1.122900009,0.04,1
154,NA,云池(白洋),111.4927,30.4087,0.795099974,0.807099998,0.906599998,0.856299996,1.870499969,1.208600044,0.938199997,0.05,1.7
155,NA,南津关,111.2706,30.7639,0.877600014,0.867399991,0.934199989,0.888899982,1.630300045,1.264799953,1.042500019,0.04,1.3
156,NA,寸滩,106.5996,29.6149,0.986500025,1.014500022,1.122400045,1.123999953,1.766499996,1.510400057,1.225900054,0.04,1
157,NA,手爬岩,105.5415,28.8952,0.964699984,0.988099992,1.113700032,1.112499952,1.874300003,1.589900017,1.272199988,0.04,0.8
158,NA,苏家,108.0669,30.3124,0.984000027,0.9824,1.061800003,1.024999976,2.00090003,1.619899988,1.217300057,0.04,1.2
159,NA,清江大桥,111.4304,30.3997,0.983900011,1.003600001,1.086599946,1.08220005,1.721400023,1.398399949,1.196200013,0.01,2.1
160,NA,清溪场,107.4545,29.7967,0.844600022,0.871900022,0.997399986,0.914300025,2.285900116,1.420799971,1.020699978,0.04,1.3
161,NA,晒网坝,108.4766,30.839,0.92900002,0.953000009,1.021499991,0.919700027,0.838400006,0.763199985,0.744499981,0.03,1.1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
