SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
0.920799971,0.933600008,1.007300019,0.98180002,1.691699982,1.359699965,1.082700014,0.085952,2.716349
0.912150025,0.921999991,0.948249996,0.927200019,1.213799953,1.093500018,0.949599981,0.059737,1.847891
0.736100018,0.811500013,0.967899978,0.952000022,1.135699987,1.007500052,0.922399998,0.075493,1.871029
1.000699997,1.079650044,1.136199951,1.116750002,1.37409997,1.528149962,1.419700027,0.095176,1.602637
0.797100008,0.846099973,0.933300018,0.93720001,1.206599951,1.104799986,0.962199986,0.061717,2.861739
0.993700027,1.051200032,1.162500024,1.151149988,1.096400023,1.078500032,1.056499958,0.081043,1.861882
1.042099953,1.07249999,1.128999949,1.156299949,1.373700023,1.272199988,1.162799954,0.079032,2.404054
0.867500007,0.908100009,1.062399983,1.036200047,1.162700057,1.160300016,1.069599986,0.054181,2.279357
0.919350028,0.956350029,1.072749972,1.042600036,1.260349989,1.17414999,1.0273,0.070956,2.513128
1.07735002,1.123800039,1.244199991,1.234549999,1.622249961,1.562749982,1.296249986,0.04978,1.775161
0.901950002,0.921299994,0.96815002,0.951099992,1.332299948,1.137599945,0.993700027,0.086489,1.802312
0.955299973,0.999549985,1.103399992,1.046800017,0.888249993,0.819949985,0.798950016,0.080065,2.24212
0.80309999,0.862299979,0.974099994,1.019000053,1.418499947,1.346199989,1.132400036,0.086177,2.925249
0.914950013,0.951399982,1.020900011,0.998950005,1.214300036,1.155099988,1.039100051,0.068497,1.974324
0.913399994,0.994000018,1.148399949,1.140699983,1.437399983,1.221899986,1.070199966,0.082102,2.002712
0.929099977,0.980000019,1.14715004,1.146999955,1.460999966,1.423699975,1.260149956,0.066576,3.128235
1.023000002,1.059000015,1.156800032,1.206900001,1.229300022,1.183599949,1.133000016,0.064205,2.496407
0.915099978,0.949599981,1.032449961,1.054250002,1.391899943,1.192800045,1.053249955,0.076889,2.120278
1.031149983,1.074550033,1.169049978,1.224099994,1.475649953,1.554399967,1.349050045,0.077819,1.760375
1.005300045,1.045799971,1.106699944,1.165699959,1.412899971,1.486199975,1.345900059,0.03262,1.392515
0.978649974,1.012949944,1.09860003,1.127050042,1.363299966,1.356449962,1.20934999,0.055449,2.105449
0.908699989,0.93599999,0.998650014,1.020200014,1.293599963,1.296350002,1.129199982,0.156469,2.984124
1.162649989,1.243549943,1.364449978,1.408200026,1.590149999,1.523949981,1.373350024,0.069584,2.227844
1.232849956,1.293099999,1.386250019,1.472100019,1.777999997,1.771100044,1.575649977,0.072537,1.684485
0.97329998,1.011700034,1.115700006,1.076699972,0.906000018,0.859600008,0.836799979,0.079643,1.825614
0.940100014,0.967599988,1.029000044,1.070799947,1.345700026,1.370800018,1.23150003,0.066006,2.280529
0.989199996,1.022799969,1.106549978,1.076099992,0.886849999,0.816100001,0.79095,0.08659,2.103389
0.95539999,0.976999998,1.025300026,1.044800043,1.174999952,1.218899965,1.125499964,0.070801,1.769006
